store_name,period_month,source_file,source_sheet,metric_key,metric_label,plan,fact,percent,forecast,forecast_percent,deviation,last_year_fact,lfl_deviation
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,avg_item_price,Средняя стоимость изделия,6600.0,7042.178118811881,1.0669966846684669,7042.17811881188,1.0669966846684666,442.17811881188027,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,items_per_check,Длина чека,1.7,1.8363636363636364,1.0802139037433156,1.8363636363636364,1.0802139037433156,0.13636363636363646,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,checks_count,Кол-во чеков,171.0,110.0,0.6432748538011696,109.99999999999994,0.6432748538011692,-61.00000000000006,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,shifts_count,Кол-во смен,31.0,31.0,1.0,1421.6000000000008,,1390.6000000000008,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,avg_sales_per_shift,Средние продажи в смену,61890.967741935485,45887.74129032258,0.7414287248126257,45887.74129032258,0.7414287248126257,-16003.226451612907,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,lag_lead,Отставание/Перевыполнение,,-496100.02,,-496100.02,,,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,traffic,Трафик,1900.0,1421.6000000000001,0.7482105263157895,1421.6000000000001,0.7482105263157895,-478.39999999999986,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,conversion,Конверсия,0.09,0.07737760270118176,0.8597511411242418,0.8597511411242418,0.8597511411242418,0.7697511411242418,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,revenue,Выручка,1870176.0000000002,844539.0,0.45158263179508235,844539.0000000001,0.4515826317950824,-1025637.0000000001,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,items_count,Кол-во изделий,257.6,106.0,0.41149068322981364,106.00000000000003,0.41149068322981375,-151.6,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,avg_check,Средний чек,13358.400000000001,12239.695652173914,0.9162546152363991,12239.695652173914,0.9162546152363991,-1118.7043478260875,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,avg_item_price,Средняя стоимость изделия,7260.0,7967.3490566037735,1.0974309995322002,7967.349056603773,1.0974309995322,707.3490566037726,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,items_per_check,Длина чека,1.84,1.536231884057971,0.8349086326402015,1.536231884057971,0.8349086326402015,-0.3037681159420291,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,checks_count,Кол-во чеков,140.0,69.0,0.4928571428571429,68.99999999999999,0.49285714285714277,-71.00000000000001,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,shifts_count,Кол-во смен,28.0,28.0,1.0,1338.0000000000002,,1310.0000000000002,,
