store_name,period_month,source_file,metric_key,metric_label,plan,fact,percent,forecast,forecast_percent,deviation,last_year_fact,lfl_deviation
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,conversion,Конверсия план/факт,0.12,0.0822669104204753,0.685557586837294,0.0971994267513235,0.809995222927696,-0.0228005732486764,0.23205128205128206,-0.134851855299958
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,revenue,Выручка,2588108.16,2068738.6,0.7993246310076932,2068738.5999999996,0.7993246310076931,-519369.5600000005,,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,items_count,Кол-во изделий,521.796,390.0,0.7474185313800795,389.99999999999994,0.7474185313800794,-131.7960000000001,,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,avg_check,Средний чек,8779.2,10608.915897435898,1.2084148780567587,10608.915897435898,1.2084148780567587,1829.7158974358972,0.0,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,avg_item_price,Средняя стоимость изделия,4960.0,5304.457948717949,1.0694471670802317,5304.457948717949,1.0694471670802317,344.45794871794897,,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,items_per_check,Длина чека,1.77,2.0,1.1299435028248588,2.0,1.1299435028248588,0.22999999999999998,,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,checks_count,Кол-во чеков,294.8,195.0,0.6614654002713704,195.0,0.6614654002713704,-99.80000000000001,,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,shifts_count,Кол-во смен,30.0,30.0,1.0,30.0,1.0,0.0,,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,avg_sales_per_shift,Средние продажи в смену,86270.27200000001,68957.95333333334,0.7993246310076932,68957.95333333334,0.7993246310076932,-17312.318666666673,,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,lag_lead,Отставание/Перевыполнение,,-519369.56000000006,,-519369.56000000006,,,,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,traffic,Трафик,1340.0,893.0,0.6664179104477612,893.0,0.6664179104477612,-447.0,,
"Ялта, Набережная 18",2025-04,ЕО Ялта Ленина 18_04.2025.xlsx,conversion,Конверсия план/факт,0.22,0.21836506159014557,0.992568461773389,0.2186931534588228,0.9940597884491945,-0.0013068465411772145,,
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,revenue,Выручка,2458965.6,1760211.0,0.715833926265581,1760211.0000000007,0.7158339262655812,-698754.5999999994,2068738.6,-308527.5999999994
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,items_count,Кол-во изделий,353.808,230.0,0.650070094514539,229.999999999999,0.650070094514538,-123.808,390.0,-160.0
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,avg_check,Средний чек,12649.0,13234.66917293233,1.046301618541571,13234.66917293233,1.046301618541571,585.6691729323302,10608.915897435898,2625.7532754964323
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,avg_item_price,Средняя стоимость изделия,6950.0,7653.091304347826,1.1011642164529245,7653.091304347862,1.1011642164529298,703.0913043478622,5304.457948717949,2348.6333556299132
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,items_per_check,Длина чека,1.82,1.72932330827067,0.950177641906965,1.72932330827067,0.950177641906965,-0.0906766917293233,2.0,-0.270676691729323
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,checks_count,Кол-во чеков,194.4,133.0,0.684156378600823,133.0,0.684156378600823,-61.3999999999999,195.0,-61.9999999999999
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,shifts_count,Кол-во смен,30.0,30.0,1.0,30.0,1.0,0.0,30.0,0.0
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,avg_sales_per_shift,Средние продажи в смену,81965.52,58673.7,0.7158339262655808,58673.7,0.7158339262655808,-23291.820000000007,68957.95333333334,-10284.253333333341
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,lag_lead,Отставание/Перевыполнение,,-698754.6000000001,,-698754.6000000001,,,-519369.56000000006,-179385.04000000004
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,traffic,Трафик,1800.0,1591.2,0.884,1591.2,0.884,-208.799999999999,893.0,698.2
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,revenue,Выручка на  вошедшего,1366.092,1106.2160633484164,0.8097668849158155,1106.2160633484164,0.8097668849158155,-259.87593665158374,,
"Ялта, Набережная 18",2026-04,ЕО Ялта Ленина 18_04.2026.xlsx,conversion,Конверсия план/факт,0.108,0.0835847159376571,0.773932554978306,0.09052271134876362,0.8381732532292928,-0.017477288651236378,0.21836506159014557,-0.12784235024138196
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,revenue,Выручка,4793817.6,2784032.0,0.580754678692823,2784032.0000000005,0.5807546786928232,-2009785.5999999992,,
